name,patents
International Business Machines Corporation,606
"SAMSUNG DISPLAY CO., LTD.",586
CANON KABUSHIKI KAISHA,232
"FORD GLOBAL TECHNOLOGIES, LLC",211
Intel Corporation,182
TOYOTA JIDOSHA KABUSHIKI KAISHA,171
QUALCOMM Incorporated,169
Apple Inc.,167
LG ELECTRONICS INC.,165
"Amazon Technologies, Inc.",159
"Microsoft Technology Licensing, LLC",158
"BOE Technology Group Co., Ltd.",149
SONY GROUP CORPORATION,145
GOOGLE LLC,143
"Taiwan Semiconductor Manufacturing Company, Ltd.",135
General Electric Company,134
"HUAWEI TECHNOLOGIES CO., LTD.",131
Hyundai Motor Company,126
Robert Bosch GmbH,124
TELEFONAKTIEBOLAGET LM ERICSSON (PUBL),119
MITSUBISHI ELECTRIC CORPORATION,118
The Boeing Company,117
"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",111
SEIKO EPSON CORPORATION,105
Fujitsu Limited,97
